text,label
as a broker user i want the d1 file generation to be synced with the fpds data load so that i dont have to regenerate a file if no data has been updated,CM
as a dataset developer i want to separate the interface from the implementation of a dataset type,CM
as a diabetic patient i want to easily sync my glucose data with my electronic health record so that my healthcare team can stay updated on my condition,CM
as a home occupant i want coffee machine is controllable from mobile and tablet so that can be save time,CM
as a hotel event planner i want to manage event bookings and integrate them with room reservations so that guests attending events have a seamless experience,CM
as a researcher i want an app that generates an openrefine reconciliation api endpoint from a tabular data package so that i can use it to clean messy data,CM
as a student i want the library system to link to academic databases so that i can access a wide range of resources,CM
as a user i want the app to accurately convert my handwriting to digital text so that i can save time on manual transcription,CM
as a user i want to be able to sync my personal calendar with other calendars so that i can see all my events in one place,CM
as a user i want to control layer rendering symbology for vt gis data layers accessed via a web map service,CM
as an app developer i want to perform custom administrative operations on dataset instances from my app and the cli and rest or the ui,CM
as an archivist i want to export a description as ead,CM
as a bath data archive administrator i want to import bath data from an external data centre wholesale so that bath data holdings in external archives are not lost if they close down,CM
as a business analyst i want the software to adapt to different data analysis methods so that it is versatile for various tasks,CM
as a business owner i want the system to integrate with employee performance data so that salary reviews can be based on measurable metrics,CM
as a business owner i want to integrate the salary management system with my accounting software so that i can streamline financial processes,CM
as a cataloger and a collections manager i want trident to support duke core so that metadata is consistent between collections,CM
as a collection manager i want to import metadata and create records from a dcp digitazation guide,CM
as a collection manager i want to map fields in inherited metadata to duke core fields and import a spreadsheet and create records,CM
as a company executive i want to ensure that our software is compatible with major thirdparty tools we use,CM
as a consumer i want to download a data package at a particular version so that that i know it is compatible with my scripts and system,CM
as a consumer i want to download a datapackages data one coherent sqlite database so that that i can get it easily in one form,CM
as a controller i want my house to integrate to my phone and tell me when i need to service or repair something so that repairs dont get more costly or do damage,CM
as a customer i want the ability to export my transaction data so that i can use it for personal finance management,CM
as a data analyst i want to download datasets in various formats so that i can use them in different analytical tools,CM
as a data consuming user i want to be able to download a csv of the data that is used in any visualisation i am viewing so that i can use the data in other tools,CM
as a data librarian i want to extract pointers from the dmp to metadata held in other systems so that i can import this metadata into a data catalogue,CM
as a data librarian i want to import administrative information regarding a project into dmp so that i can prepopulate the dmp,CM
as a data publishing user i want to be able to import data from a google spreadsheet so that i do not have to convert data formats in order to use the data packager,CM
as a data publishing user i want to be able to import data from fiscal data package descriptor file so that i do not have to convert data formats in order to use the data packager,CM
as a data publishing user i want to be able to import data in excel so that i do not have to convert data formats in order to use the data packager,CM
as a data publishing user i want to be able to import data in json so that i do not have to convert data formats in order to use the data packager,CM
as a data reuser i want to view a doi for a dataset so that i can get back to the data in future and i can import the dataset into my referencemanagement software automatically,CM
as a data scientist i want apis for integration with analytical tools so that i can automate workflows and analysis,CM
as a database manager i want to easily integrate the new software with our existing database systems,CM
as a developer i want a dat integration so that i can integrate datapackaged data with pipelines that use dat,CM
as a developer i want a dummy app to test ddr models on fedora 4,CM
as a developer i want a jquery plugin for core data packages so that i can use it to apply to form control that uses a core dataset for autocompletion,CM
as a developer i want a mongo integration so that i can integrate datapackaged data with pipelines that use mongo,CM
as a developer i want an dspace integration so that i can integrate datapackaged data with pipelines that use dspace,CM
as a developer i want an elasticsearch integration so that i can integrate datapackaged data with pipelines that use elasticsearch,CM
as a developer i want an eprints integration so that i can integrate datapackaged data with pipelines that use eprints,CM
as a developer i want an spss integration so that i can integrate datapackaged data with pipelines that use spss,CM
as a developer i want feather integration so that i can integrate datapackaged data with pipelines that use feather,CM
as a developer i want hdf5 integration so that i can integrate datapackaged data with pipelines that use hdf5,CM
as a developer i want to access an api from the website so that i can integrate it and implement certain features in my own ios application,CM
as a developer i want to be able to generate testcases for compatibility testing so that i can ensure that the software works correctly with different devices browsers and platforms,CM
as a developer i want to be able to generate testcases for different input formats eg xml json csv so that i can ensure that the software handles different input types correctly,CM
as a developer i want to be able to generate testcases for integration testing so that i can ensure that the software works correctly with other systems and components,CM
as a developer i want to be able to integrate the automatic testcase generation tool with my development environment eg ide build system so that i can easily run and debug the generated testcases,CM
as a developer i want to do exploratory data analysis in r and operationalize that analysis in python so that i can use the best tool for the job,CM
as a developer i want to get a data package into c in seconds so that i can start using the data in doing analysis and visualizations,CM
as a developer i want to get a data package into clojure in seconds so that i can start using the data in doing analysis and visualizations,CM
as a developer i want to get a data package into julia in seconds so that i can start using the data in doing analysis and visualizations,CM
as a developer i want to get a data package into node so that i can start using the data for doing analysis and visualizations,CM
as a developer i want to get a data package into python in seconds so that i can start using the data for doing analysis and visualizations,CM
as a developer i want to have written a site which is compliant with xhtml and css standards so that as many people as possible can access the site and view it as intended,CM
as a developer i want to use data package as a node lib in my project so that that i can depend on it using my normal dependency framework,CM
as a developer of openbeta i need google analytics on the current usaspendinggov to develop wireframes for the home page and for search,CM
as a developerdatawrangler i want to store my data package in github and have it automatically stored into ckan so that i get a data api and my dataset is listed in a relevant catalog,CM
as a diabetic patient i want the device to integrate with health management apps so that i can have a centralized view of my health data,CM
as a doctor i should be able to transfer the digital medical record to this system so that i have all the info consolidated in one place,CM
as a doctor i want mobile devices to be integrated with emrs so that any data collected by mobile devices can be stored on emrs,CM
as a doctor i want to be able to automatically transfer prescriptions to pharmacy information systems,CM
as a doctor i want to be able to link an external device to the software so that the data generated can be uploaded automatically to the software,CM
as a fat person i want my scale to connect to my ipad so that i can track weightloss,CM
as a fitness enthusiast i want to integrate the app with my fitness wearables so that i can track my workouts more accurately,CM
as a gamer i want my entertainment system to integrate with my steam accounts so that it can show me suggestions for what i might want to play in the future,CM
as a gamer i want the game to be compatible with various gaming consoles and pcs,CM
as a home occupant i want an oven synced with my smartphone so it preheats based on a recipe i have pulled up so that cooking is easier and more efficient,CM
as a home owner i want smart home that integrates with every tv in each room to coordinate viewing so that i can streamline my viewing experience,CM
as a hospital administrator i want the system to integrate with existing health information exchanges so that we can share data with other healthcare providers,CM
as a hospital it specialist i want the system to be compatible with other healthcare technologies so that we can integrate new tools and systems as needed,CM
as a hospital it specialist i want the system to be compatible with various medical devices and equipment so that data from these devices can be integrated into patient records,CM
as a hotel it staff i want to ensure that the reservation system is compatible with various browsers and devices so that all potential guests can book easily,CM
as a hotel manager i want to integrate the reservation system with other hotel management software so that we have a unified system for operations,CM
as a hotel manager i want to integrate the reservation system with our pointofsale systems so that guest charges can be accurately tracked and billed,CM
as a librarian i want the system to be compatible with various printers and scanners so that we can digitize and print materials easily,CM
as a librarian i want the system to integrate with existing databases so that there is a seamless transition,CM
as a library manager i want to integrate academic journals and publications so that students and faculty can access a wide range of resources,CM
as a machine learning expert i would like to package ml datasets as data packages so that i can easily import them into my ml platform so that i can start using the data in doing analysis,CM
as a metadata batch editor id like to be able to export and import descriptive and administrative metadata for multiple collections together,CM
as a moderator i want to export a transcript of a game as a csv file so that i can further process the stories and estimates,CM
as a moderator i want to export a transcript of a game as a html file so that i can save the stories and estimates locally,CM
as a moderator i want to import stories from a spreadsheet so that i dont have to copy and paste each individual story,CM
as a movie lover i want a projector mounted on the wall that has wifi capabilities to connect to video streaming services netflix etc so that my family can be entertained without having to fumble with several different electronics,CM
as a nurse i want to be able to link an external device to the software so that the data generated can be uploaded automatically to the software,CM
as a payroll manager i want the system to integrate seamlessly with time tracking software so that employee hours are automatically reflected in payroll,CM
as a publisher i want to import my data package into the registry so that my data has a permanent online home to access,CM
as a publisher i would like an integration with excel so that i can output cleaned data packages,CM
as a publisher i would like an integration with open refine so that i can output cleaned data packages,CM
as a repository administrator i want symplectic elements to integrate with ddr they provide a fedora connector and emory is using a hidden fedora instance that hydra collects objects for note that there is bidirectional communication with elements,CM
as a repository developer i would like to upgrade to fedora 4 and migrate our applications and data,CM
as a repository manager id like to be able to export a spreadsheet of technical metadata at the repository collection or item level,CM
as a research information manager i want to integrate the archive with cris so that i can analyse impact of research data publication i can link funding to all of the outputs it produces,CM
as a researcher i want an integration with httpsdatamendeleycom so that i can validate my data upon ingest to the service,CM
as a researcher i want the cms to be integrated with academic citation tools so that referencing is streamlined in my publications,CM
as a researcher i want to be able to translate my eml dataset to a data package so that i can benefit from the wide array of tools available for data packages,CM
as a researcher i want to export descriptive data in a common format so that i can use text mining tools on it,CM
as a researcher i want to get a data package into excel in seconds so that i can start using the data for doing analysis and visualizations,CM
as a researcher i want to get a data package into julia in seconds so that i can start using the data for doing analysis and visualizations,CM
as a researcher i want to get a data package into libreofficeopenoffice in seconds so that i can start using the data for doing analysis and visualizations,CM
as a researcher i want to get a data package into r in seconds so that i can start using the data for doing analysis and visualizations,CM
as a researcher i want to get a data package into spss in seconds so that i can start using the data for doing analysis and visualizations,CM
as a researcher i want to get a data package into stata in seconds so that i can start using the data for doing analysis and visualizations,CM
as a researcher i want to get my excel spreadsheet into a data package so that i can benefit from better tooling and standardization,CM
as a researcher i want to import metadata that i captured with a metadata tool so that i do not have to capture it again in a dmp,CM
as a researcher working with data i want an microsoft power bi integration so that i can import datasets without downloading them locally,CM
as a researcher working with data in netcdf i want netcdf integration so that i can store my data in plaintext while still retaining its metadata,CM
as a researcherdeveloper would like the ability importexport from mssql so that i can use data packages in workflows that involve mssql,CM
as a researcherpublisher i want an integration with zenodo so that when i store my dataset in github i dont have to retype descriptive information about my dataset,CM
as a software developer i want an automatic testcase generation tool to integrate with my continuous integrationcontinuous deployment pipeline so that i can ensure that any changes made to the codebase do not introduce new bugs or regressions,CM
as a software integrator i need the new system to work with our existing legacy systems,CM
as a student i want the cms to be compatible with reference management software so that i can cite sources easily,CM
as a system admin i need the software to integrate smoothly with different database systems,CM
as a system administrator i want electronic medical records emrs to be integrated with the new management system so that there is a digital collection of a patients medical information available,CM
as a system administrator i want the software to be compatible with our existing hardware so that integration costs are minimal,CM
as a system administrator i want to migrate data from an older version of neurohub to the current version,CM
as a system administrator i want to run a script that installs the neurohub node onto a virgin ubuntu operating system,CM
as a system integrator i want the software to work with various data formats so that integration is seamless,CM
as a systems administrator i want to install neurohub dependencies into an ubuntu 1004 lts machine using the normal ubuntu package management tools,CM
as a teacher i want the system to be compatible with standardized testing formats so that i can prepare students for these assessments,CM
as a teacher i want to integrate the system with external educational tools and platforms so that students have a broad range of learning resources,CM
as a teacher i want to integrate the system with library resources so that students can access a wide range of academic materials,CM
as a tester i want to be able to generate test cases that are compatible with different platforms and environments so that i can ensure that the software is reliable across different systems,CM
as a university staff member i want the cms to integrate seamlessly with existing student information systems so that all digital assets are correlated with the relevant courses and students,CM
